track,raceid,trigger,Xtrigger,nh,gate,about,property
45,2022100904508    ,9,9,11,-1,v1L0,
45,2022100904507    ,33,33,10,-1,v1L1,
45,2022100904506    ,82,82,7,-1,v1Br,
45,2022100904505    ,34,34,11,-1,v1L1,
45,2022100904504    ,244,244,6,-1,v1L1,
45,2022100904503    ,102,102,7,-1,v1L1,
45,2022100904502    ,13,13,7,-1,v1Br,
45,2022100904501    ,16,16,6,-1,v1Br,
45,2022092204508    ,16,16,10,-1,v1L1,
45,2022092204507    ,18,18,10,-1,v1L1,
45,2022092204506    ,6,6,10,-1,v1L0,
45,2022092204505    ,9,9,12,-1,v1L0,
45,2022092204504    ,49,49,9,-1,v1L1,
45,2022092204503    ,21,21,9,-1,v1L1,
45,2022092204502    ,11,11,10,-1,v1B11,
45,2022092204501    ,20,20,6,-1,v1B11,
45,2022091304508    ,11,11,12,-1,v1B11,
45,2022091304507    ,9,9,10,-1,v1L11,
45,2022091304506    ,2,2,9,-1,v1L1,
45,2022091304505    ,4,4,11,-1,v1L0,
45,2022091304504    ,5,5,10,-1,v1L0,
45,2022091304503    ,28,28,8,-1,v1L1,
45,2022091304502    ,50.52,111,6,0,157.1,v1Br
45,2022091304501    ,17,17,5,-1,v1F1,
45,2022090704508    ,2,2,7,-1,v1L1,
45,2022090704507    ,16,16,12,-1,v1L1,
45,2022090704505    ,8,8,10,-1,v1B1,
45,2022090704503    ,9,9,7,-1,v1F0,
45,2022090704501    ,11,11,6,-1,v1L1,
45,2022062704504    ,157.39,157.691,14,408,175,v1L1
45,2022062704502    ,14.414,14.414,11,160,173.7,v1L11
45,2022062604506    ,17.918,11.912,8,351,294.6,v1L1
45,2022042604502    ,50.083,50.083,11,840,191.7,v1F0
45,2022042604501    ,31.031,31.031,5,0,-1,v1F1
45,2022042304508    ,21.188,20.687,9,114,491.5,v1Br
45,2022042304506    ,32.599,28.295,9,0,-1,v1L1
45,2022042304504    ,31.365,38.472,9,0,278.2,v1L11
45,2022042304502    ,36.336,40.34,7,34,246.6,v1Br
45,2022042304501    ,29.696,32.799,6,359,175.9,v1L11
45,2022041404508    ,26.159,26.56,13,142,327.8,v1L1
